"state","county","zcta5","stab","cntyname","zipname","pop10","afact"
"FIPS state","county","ZIP Census Tabulation Area","State Postal Code","cntyname","zipname","Total Pop, 2010 census","county to zcta5 alloc factor"
"01","01001","36003","AL","Autauga AL","Autaugaville, AL",1975,0.036 
"01","01001","36006","AL","Autauga AL","Billingsley, AL",994,0.018 
"01","01001","36022","AL","Autauga AL","Deatsville, AL",4265,0.078 
"01","01001","36051","AL","Autauga AL","Marbury, AL",1615,0.03 
"01","01001","36066","AL","Autauga AL","Prattville, AL",17282,0.317 
"01","01001","36067","AL","Autauga AL","Prattville, AL",26954,0.494 
"01","01001","36091","AL","Autauga AL","Verbena, AL",346,0.006 
"01","01001","36703","AL","Autauga AL","Selma, AL",170,0.003 
"01","01001","36749","AL","Autauga AL","Jones, AL",676,0.012 
"01","01001","36758","AL","Autauga AL","Plantersville, AL",294,0.005 
"01","01003","36480","AL","Baldwin AL","Uriah, AL",18,0 
"01","01003","36502","AL","Baldwin AL","Atmore, AL",220,0.001 
"01","01003","36507","AL","Baldwin AL","Bay Minette, AL",19090,0.105 
"01","01003","36511","AL","Baldwin AL","Bon Secour, AL",764,0.004 
"01","01003","36526","AL","Baldwin AL","Daphne, AL",27890,0.153 
"01","01003","36527","AL","Baldwin AL","Spanish Fort, AL",12109,0.066 
"01","01003","36530","AL","Baldwin AL","Elberta, AL",6873,0.038 
"01","01003","36532","AL","Baldwin AL","Fairhope, AL",27829,0.153 
"01","01003","36535","AL","Baldwin AL","Foley, AL",26767,0.147 
"01","01003","36542","AL","Baldwin AL","Gulf Shores, AL",12705,0.07 
"01","01003","36549","AL","Baldwin AL","Lillian, AL",4271,0.023 
"01","01003","36550","AL","Baldwin AL","Little River, AL (PO Boxes)",217,0.001 
"01","01003","36551","AL","Baldwin AL","Loxley, AL",8258,0.045 
"01","01003","36555","AL","Baldwin AL","Magnolia Springs, AL",654,0.004 
"01","01003","36559","AL","Baldwin AL","Montrose, AL (PO Boxes)",233,0.001 
"01","01003","36561","AL","Baldwin AL","Orange Beach, AL",5808,0.032 
"01","01003","36562","AL","Baldwin AL","Perdido, AL",1534,0.008 
"01","01003","36564","AL","Baldwin AL","Point Clear, AL",107,0.001 
"01","01003","36567","AL","Baldwin AL","Robertsdale, AL",12672,0.07 
"01","01003","36574","AL","Baldwin AL","Seminole, AL",1341,0.007 
"01","01003","36576","AL","Baldwin AL","Silverhill, AL",4143,0.023 
"01","01003","36578","AL","Baldwin AL","Stapleton, AL (PO Boxes)",1749,0.01 
"01","01003","36579","AL","Baldwin AL","Stockton, AL",1590,0.009 
"01","01003","36580","AL","Baldwin AL","Summerdale, AL",5420,0.03 
"01","01003","99999","AL","Baldwin AL","99999",3,0 
"01","01005","36005","AL","Barbour AL","Banks, AL",9,0 
"01","01005","36016","AL","Barbour AL","Clayton, AL",5150,0.188 
"01","01005","36017","AL","Barbour AL","Clio, AL",3318,0.121 
"01","01005","36027","AL","Barbour AL","Eufaula, AL",16078,0.586 
"01","01005","36048","AL","Barbour AL","Louisville, AL",1459,0.053 
"01","01005","36053","AL","Barbour AL","Midway, AL",695,0.025 
"01","01005","36311","AL","Barbour AL","Ariton, AL",611,0.022 
"01","01005","36317","AL","Barbour AL","Clopton, AL",55,0.002 
